Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763217765,50,,Aggregated,5.200000,0.000000,8300,9300,9900,10000,11000,11000,11000,11000,11000,11000,11000,131,0,8300.0,7169.8075575799985,303.6350450020109,11270.275576000131,465.2671755725191
1763217766,50,,Aggregated,5.700000,0.000000,8400,9300,9900,10000,11000,11000,11000,11000,11000,11000,11000,134,0,8400.0,7196.970487537139,303.6350450020109,11270.275576000131,456.0149253731343
1763217767,50,,Aggregated,5.400000,0.000000,7900,8900,9300,9900,11000,11000,11000,11000,11000,11000,11000,154,0,7900.0,7202.303934889407,303.6350450020109,11270.275576000131,650.6233766233767
1763217768,50,,Aggregated,5.700000,0.000000,7000,8800,9300,9800,10000,11000,11000,11000,11000,11000,11000,179,0,7000.0,6831.143555122744,303.6350450020109,11270.275576000131,884.3351955307263
1763217769,50,,Aggregated,6.500000,0.000000,6500,8300,8900,9300,10000,11000,11000,11000,11000,11000,11000,205,0,6500.0,6224.665621912043,303.6350450020109,11270.275576000131,1407.2146341463415
1763217770,50,,Aggregated,8.900000,0.000000,5600,7900,8800,9300,10000,11000,11000,11000,11000,11000,11000,226,0,5600.0,5811.070802685695,303.6350450020109,11270.275576000131,1768.6592920353983
1763217771,50,,Aggregated,11.000000,0.000000,5300,7500,8800,9000,10000,11000,11000,11000,11000,11000,11000,250,0,5300.0,5429.114051047859,303.6350450020109,11270.275576000131,1882.724
1763217772,50,,Aggregated,12.600000,0.000000,4500,6900,8400,8900,10000,11000,11000,11000,11000,11000,11000,269,0,4500.0,5189.666774698775,303.6350450020109,11270.275576000131,2009.3940520446097
1763217773,50,,Aggregated,14.000000,0.000000,3800,6700,8100,8800,10000,11000,11000,11000,11000,11000,11000,291,0,3800.0,4917.728098831533,303.6350450020109,11270.275576000131,1973.6769759450171
1763217774,50,,Aggregated,15.200000,0.000000,3200,6300,7900,8800,9900,11000,11000,11000,11000,11000,11000,309,0,3200.0,4715.076921789581,303.6350450020109,11270.275576000131,2036.695792880259
1763217775,50,,Aggregated,17.000000,0.000000,2700,5800,7600,8400,9900,11000,11000,11000,11000,11000,11000,326,0,2700.0,4552.605481343505,303.6350450020109,11270.275576000131,2112.1134969325153
1763217776,50,,Aggregated,18.000000,0.000000,2200,5600,7300,8300,9800,10000,11000,11000,11000,11000,11000,346,0,2200.0,4391.964761997006,303.6350450020109,11270.275576000131,2097.1531791907514
1763217777,50,,Aggregated,19.700000,0.000000,2100,5300,7000,8100,9600,10000,11000,11000,11000,11000,11000,362,0,2100.0,4275.521110867305,303.6350450020109,11270.275576000131,2147.8977900552486
1763217778,50,,Aggregated,20.600000,0.000000,2100,5100,6900,7900,9500,10000,11000,11000,11000,11000,11000,374,0,2000.0,4203.653252082776,303.6350450020109,11270.275576000131,2205.866310160428
